Company,Date,Adj Close,Volume,Difference,Difference_Percentage
T,2021-03-12,18.617298,92827229,0.1686230000000002,0.9140114398459521
T,2021-03-15,18.692242,56121050,0.0749439999999985,0.4025503593485938
T,2021-03-16,18.729713,50311735,0.037471,0.200462844424976
T,2021-03-17,18.829639,52881354,0.0999259999999999,0.533515916661403
T,2021-03-18,18.742205,41438817,-0.0874340000000017,0.4643424125125382
T,2021-03-19,18.586071,97559734,-0.15613399999999802,0.8330609978921797
T,2021-03-22,18.729713,41525936,0.1436419999999998,0.7728475803196911
T,2021-03-23,18.735962,48880756,0.0062490000000003,0.0333640990654816
T,2021-03-24,18.729713,44403518,-0.0062490000000003,0.0333529711471468
T,2021-03-25,18.785921,49001902,0.056207999999997996,0.3001007009557382
T,2021-03-26,18.929565,83378238,0.1436440000000018,0.7646364530118162
T,2021-03-29,19.085695,49355145,0.15613000000000102,0.8247944419219406
T,2021-03-30,19.191868,46516092,0.1061729999999983,0.556296220808298
T,2021-03-31,18.904579000000002,59981040,-0.2872890000000012,1.4969308876030267
T,2021-04-01,19.02949,42999548,0.1249110000000008,0.6607446799000437
T,2021-04-05,19.179379,50996905,0.1498890000000017,0.7876669316939221
T,2021-04-06,19.348001,44574314,0.1686219999999991,0.8791838359312841
T,2021-04-07,19.316774,53821262,-0.0312270000000012,0.1613965184310318
T,2021-04-08,19.162506,66037678,-0.1542679999999983,0.7986219645164265
T,2021-04-09,19.188051,44111311,0.025545000000001,0.1333071989644832
T,2021-04-12,19.136951,32913051,-0.0511000000000017,0.2663115706749043
T,2021-04-13,18.926167,54794270,-0.2107840000000003,1.1014502780510869
T,2021-04-14,18.99004,41425180,0.0638730000000009,0.3374851336776271
T,2021-04-15,19.002815,35073819,0.0127749999999977,0.0672721068517905
T,2021-04-16,19.130568,39935944,0.127753000000002,0.6722846062543998
T,2021-04-19,19.156115,39439974,0.0255469999999995,0.1335402064381964
T,2021-04-20,19.092241,35799239,-0.0638739999999984,0.3334392177119339
T,2021-04-21,19.232767000000003,45489198,0.1405259999999977,0.7360372205651379
T,2021-04-22,20.031202,143684584,0.7984350000000013,4.1514307327697635
T,2021-04-23,20.056751000000002,53428961,0.025548999999997997,0.1275460154612691
T,2021-04-26,19.743763,60190761,-0.3129879999999971,1.5605119692616076
T,2021-04-27,19.654339,44211273,-0.08942400000000099,0.4529227787023226
T,2021-04-28,19.775705,37193014,0.1213659999999983,0.6175023235327237
T,2021-04-29,20.018431,50944740,0.2427260000000011,1.2273949272605005
T,2021-04-30,20.063141,41484362,0.044710000000002005,0.2233441771735358
T,2021-05-03,20.120626,49589228,0.0574849999999997,0.2865204406428673
T,2021-05-04,20.452778,68700639,0.3321519999999971,1.6508035087973758
T,2021-05-05,20.459164,41937965,0.0063860000000026,0.0312231424015
T,2021-05-06,20.701889,38556072,0.242725,1.18638767449149
T,2021-05-07,20.542202,38330065,-0.1596870000000017,0.7713643909500321
T,2021-05-10,20.842419,54262286,0.3002169999999999,1.4614645499056038
T,2021-05-11,20.606081,44221335,-0.2363379999999999,1.1339278804442037
T,2021-05-12,20.420842999999998,41682300,-0.1852379999999982,0.8989482279527011
T,2021-05-13,20.574144,35838562,0.153300999999999,0.750708479566681
T,2021-05-14,20.593304,28044703,0.0191599999999994,0.0931265961781904
T,2021-05-17,20.037592,227010260,-0.5557119999999998,2.6985082141263
T,2021-05-18,18.875067,327097378,-1.1625249999999987,5.801720086924609
T,2021-05-19,18.498205,162369932,-0.3768620000000027,1.9966127802354432
T,2021-05-20,18.932555999999998,108488825,0.434351000000003,2.348071069598391
T,2021-05-21,19.16889,98754380,0.2363339999999993,1.2482942081354431
T,2021-05-24,19.002815,63020282,-0.1660750000000028,0.8663777610492983
T,2021-05-25,18.855906,77290883,-0.1469089999999973,0.7730907236638219
T,2021-05-26,18.875067,43765747,0.0191610000000004,0.1016180288552585
T,2021-05-27,18.977266,62823932,0.1021989999999988,0.5414497336618662
T,2021-05-28,18.798416,54191320,-0.1788500000000006,0.9424434478601956
T,2021-06-01,18.728153,52162290,-0.0702630000000006,0.3737708538847136
T,2021-06-02,18.913391,53003692,0.1852380000000018,0.9890884594973236
T,2021-06-03,18.670668,60788150,-0.2427230000000015,1.2833394075129179
T,2021-06-04,18.696213,45228105,0.025545000000001,0.1368188861801893
T,2021-06-07,18.574852,43812219,-0.1213610000000002,0.6491207604449108
T,2021-06-08,18.510981,81796720,-0.0638709999999989,0.3438573830897758
T,2021-06-09,18.530142,38698004,0.0191610000000004,0.1035115318847792
T,2021-06-10,18.638729,46019327,0.1085869999999999,0.5860019853058871
T,2021-06-11,18.728153,41163954,0.0894239999999975,0.4797752035559801
T,2021-06-14,18.58124,36006312,-0.1469129999999978,0.7844500202449107
T,2021-06-15,18.702604,34705350,0.1213639999999998,0.653153395575321
T,2021-06-16,18.562078,40251454,-0.1405260000000012,0.7513713063699646
T,2021-06-17,18.357681,47283350,-0.2043970000000001,1.1011536531631867
T,2021-06-18,18.300192000000003,86995009,-0.0574890000000003,0.3131604694514538
T,2021-06-21,18.479042,44495668,0.1788500000000006,0.9773121506047622
T,2021-06-22,18.383224,41524215,-0.0958180000000012,0.5185225511149403
T,2021-06-23,18.300192000000003,31479689,-0.0830319999999993,0.4516726772191827
T,2021-06-24,18.389616,47503266,0.08942400000000099,0.4886506108788425
T,2021-06-25,18.453492999999998,37039297,0.0638770000000015,0.3473536369655653
T,2021-06-28,18.383224,35873515,-0.0702690000000032,0.38078969656315603
T,2021-06-29,18.306581,42715947,-0.0766429999999971,0.4169181640826284
T,2021-06-30,18.383224,43623814,0.0766429999999971,0.4186636488812254
T,2021-07-01,18.594015,34947642,0.2107910000000004,1.1466487053631094
T,2021-07-02,18.670668,37964376,0.0766530000000003,0.4122455532062349
T,2021-07-06,18.536528,53233538,-0.1341399999999986,0.7184531372953481
T,2021-07-07,18.479042,44484282,-0.0574860000000008,0.31012280185372804
T,2021-07-08,18.438786,52985421,-0.0402559999999994,0.2178467909754163
T,2021-07-09,18.61545,45214865,0.1766639999999988,0.9581107997023168
T,2021-07-12,18.635084,35588988,0.0196339999999999,0.1054715303685913
T,2021-07-13,18.497675,38431218,-0.1374089999999981,0.7373672155167001
T,2021-07-14,18.491135,42322852,-0.0065400000000011,0.0353557947147471
T,2021-07-15,18.602365,36102832,0.11122999999999901,0.601531490630505
T,2021-07-16,18.543478,34673177,-0.0588869999999985,0.3165565238613401
T,2021-07-19,18.183601,76367393,-0.3598770000000009,1.940720074195364
T,2021-07-20,18.262117,46026477,0.0785160000000004,0.4317956602765342
T,2021-07-21,18.255577,40798133,-0.0065400000000011,0.0358118393393334
T,2021-07-22,18.327552999999998,48904588,0.0719760000000029,0.3942685569456551
T,2021-07-23,18.419155,40029948,0.0916019999999981,0.4998048566548855
T,2021-07-26,18.438786,48400144,0.0196310000000003,0.1065792649011336
T,2021-07-27,18.45187,45261337,0.0130839999999992,0.0709591184582282
T,2021-07-28,18.327552999999998,42069835,-0.1243169999999977,0.6737365914674112
T,2021-07-29,18.510763,42129018,0.1832099999999989,0.9996424509043786
T,2021-07-30,18.353724,49652913,-0.157039000000001,0.8483658939396557
T,2021-08-02,18.392984,43086667,0.0392599999999987,0.2139075426872428
T,2021-08-03,18.44533,37982515,0.052346000000000004,0.2845976487556342
T,2021-08-04,18.222858,38980149,-0.2224719999999997,1.2061155858962664
T,2021-08-05,18.281748,27837762,0.0588900000000016,0.3231655539433039
T,2021-08-06,18.294833999999998,30562686,0.0130860000000012,0.071579588560138
T,2021-08-09,18.222858,33359504,-0.0719760000000029,0.3934225366570854
T,2021-08-10,18.379896,29472770,0.157038,0.8617638352886251
T,2021-08-11,18.425698999999998,27142927,0.0458030000000029,0.2492016276914892
T,2021-08-12,18.334093,25167519,-0.0916060000000023,0.497164313820617
T,2021-08-13,18.44533,29052135,0.1112369999999991,0.606722132368365
T,2021-08-16,18.45187,27148223,0.0065400000000011,0.0354561290039327
T,2021-08-17,18.44533,26361502,-0.0065400000000011,0.0354435620888349
T,2021-08-18,18.209772,36599729,-0.2355579999999975,1.2770603724628269
T,2021-08-19,18.013476999999998,49881700,-0.1962949999999992,1.0779651716671643
T,2021-08-20,18.039652,36754240,0.0261749999999985,0.1453078714342517
T,2021-08-23,18.006933,37017584,-0.0327190000000001,0.1813726783643064
T,2021-08-24,17.961129999999997,38782343,-0.0458029999999993,0.2543631389087712
T,2021-08-25,17.948044,29708309,-0.0130860000000012,0.0728573313594482
T,2021-08-26,17.679771,49257302,-0.2682730000000006,1.4947199817428611
T,2021-08-27,17.751747,42686157,0.0719760000000029,0.4071093454773986
T,2021-08-30,17.817181,40268666,0.0654339999999997,0.3686059743866323
T,2021-08-31,17.941504000000002,52696392,0.1243229999999968,0.6977703150683424
T,2021-09-01,17.791007999999998,37546257,-0.1504959999999968,0.8388148507505105
T,2021-09-02,18.085453,80611740,0.2944449999999996,1.6550214580309313
T,2021-09-03,18.033108,35800298,-0.0523450000000025,0.2894315116132425
T,2021-09-07,17.941504000000002,34935329,-0.0916040000000002,0.5079767725008925
T,2021-09-08,18.059278,37976292,0.1177740000000007,0.6564332622281873
T,2021-09-09,17.941504000000002,39806590,-0.1177740000000007,0.6521523174957532
T,2021-09-10,17.784468,38245594,-0.1570359999999979,0.8752666443125279
T,2021-09-13,18.006933,51168760,0.2224649999999997,1.2508948819835355
T,2021-09-14,17.882614,38046729,-0.1243189999999998,0.6903951938955948
T,2021-09-15,18.039652,44541081,0.157038,0.878160206332251
T,2021-09-16,18.059278,38041698,0.0196259999999988,0.1087936729599817
T,2021-09-17,18.013476999999998,89996517,-0.0458009999999973,0.253614790137221
T,2021-09-20,17.804095999999998,64631457,-0.2093810000000004,1.1623574948911888
T,2021-09-21,17.640514000000003,47120101,-0.1635820000000016,0.9187885753929976
T,2021-09-22,17.673233,41950675,0.0327190000000001,0.1854764549377652
T,2021-09-23,17.791007999999998,45047776,0.1177750000000017,0.6664032551373127
T,2021-09-24,17.751747,32406489,-0.0392609999999997,0.2206788957657698
T,2021-09-27,17.928415,42571764,0.1766679999999993,0.9952147245000696
T,2021-09-28,17.823723,43597466,-0.10469200000000001,0.5839445372053246
T,2021-09-29,17.928415,41619543,0.10469200000000001,0.5873744783847908
T,2021-09-30,17.673233,58751838,-0.2551820000000013,1.4233383151829169
T,2021-10-01,17.771379,41759490,0.0981459999999998,0.5553369889934674
T,2021-10-04,17.830267000000003,57892430,0.0588879999999996,0.3313642683553122
T,2021-10-05,17.8957,42649350,0.0654330000000023,0.3669771181777721
T,2021-10-06,17.869528,73923686,-0.0261720000000025,0.1462474225652113
T,2021-10-07,18.183989,64402935,0.3144610000000014,1.7597610860230972
T,2021-10-08,17.969191,51635868,-0.2147980000000018,1.1812479648992409
T,2021-10-11,17.472475,85460890,-0.4967159999999992,2.764264679472767
T,2021-10-12,17.069729000000002,101515979,-0.4027460000000005,2.3050311990716854
T,2021-10-13,16.982464,80546996,-0.0872649999999986,0.5112266281438832
T,2021-10-14,17.197262,75032669,0.2147979999999982,1.2648223485119607
T,2021-10-15,17.250963,63061723,0.0537010000000002,0.312264824481945
T,2021-10-18,17.002604,59807596,-0.2483589999999971,1.4396819470309985
T,2021-10-19,17.177126,46242686,0.1745219999999996,1.0264427731187509
T,2021-10-20,17.391924,63927222,0.2147979999999982,1.2504885858088148
T,2021-10-21,17.291237,73916007,-0.1006870000000006,0.5789296227375456
T,2021-10-22,17.109999,49159193,-0.1812380000000004,1.0481494181127728
T,2021-10-25,17.210686,65704956,0.1006870000000006,0.5884687661290959
T,2021-10-26,17.029451,48187774,-0.1812349999999973,1.0530376302257642
T,2021-10-27,16.821365,52952056,-0.2080860000000015,1.2219184282570326
T,2021-10-28,17.150276,70281362,0.3289110000000015,1.9553169436606448
T,2021-10-29,16.955616,71775496,-0.1946600000000025,1.135025465479404
T,2021-11-01,17.029451,53318010,0.0738350000000025,0.4354604397740698
T,2021-11-02,16.935478,45810003,-0.0939730000000018,0.5518263624587889
T,2021-11-03,16.901915,48160500,-0.0335630000000009,0.1981815925124812
T,2021-11-04,16.646841000000002,83532616,-0.2550740000000004,1.5091426030719033
T,2021-11-05,16.848217,58867158,0.2013760000000033,1.2096949805672041
T,2021-11-08,16.700542000000002,61161253,-0.1476750000000031,0.8765022435311884
T,2021-11-09,16.586428,60057567,-0.1141139999999971,0.6832951888627158
T,2021-11-10,16.747528,62271427,0.1610999999999975,0.9712760336342314
T,2021-11-11,16.727392000000002,40223517,-0.0201360000000008,0.1202326695617455
T,2021-11-12,16.740818,36217358,0.0134260000000026,0.0802635581207315
T,2021-11-15,16.646841000000002,53290206,-0.0939770000000024,0.5613644446764932
T,2021-11-16,16.552870000000002,48162354,-0.0939709999999998,0.5644974923470454
T,2021-11-17,16.552870000000002,42762155,0.0,0.0
T,2021-11-18,16.371632,49734868,-0.1812379999999969,1.0949037840567644
T,2021-11-19,16.197109,66821750,-0.1745230000000006,1.066008568968571
T,2021-11-22,16.579718,71414574,0.3826089999999986,2.362205502228815
T,2021-11-23,16.619991,58975991,0.0402729999999991,0.2429052170851103
T,2021-11-24,16.425327,44597748,-0.1946639999999995,1.1712641721647112
T,2021-11-26,16.257521,38851588,-0.1678059999999988,1.021629584604305
T,2021-11-29,16.036009,69449493,-0.2215120000000006,1.3625201529802766
T,2021-11-30,15.324492999999999,184492383,-0.7115159999999996,4.4369892783173155
T,2021-12-01,14.921745999999999,106323952,-0.4027469999999997,2.6281260985273684
T,2021-12-02,15.472167,105952835,0.550421,3.6887171246582002
T,2021-12-03,15.747373999999999,93399859,0.27520700000000003,1.7787230450653742
T,2021-12-06,15.626554,78265347,-0.1208200000000001,0.7672390329968676
T,2021-12-07,15.492301999999999,82646331,-0.134252,0.8591273546298182
T,2021-12-08,15.552715,64794044,0.0604129999999987,0.3899549595663621
T,2021-12-09,15.398329,68283976,-0.1543859999999988,0.9926626958701348
T,2021-12-10,15.331203,52988731,-0.067126,0.4359304181642048
T,2021-12-13,15.062707000000001,87574921,-0.2684960000000007,1.7513041866316734
T,2021-12-14,14.96202,102318985,-0.1006869999999988,0.6684522244241945
T,2021-12-15,14.881472,93643342,-0.0805480000000002,0.5383497682799534
T,2021-12-16,15.915185000000001,150436190,1.0337129999999988,6.94630880601058
T,2021-12-17,15.962173000000002,142867941,0.0469880000000006,0.2952400490475021
